Configuration,Model,Scenario,Scenario_Status,N,MAE,RMSE,R2_Score
Short-term Autoregressive (Lag 1-3h),Persistence,Source: EPA AQS,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Persistence,Source: Open-Meteo,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Climatology,Full Test Year 2025,Available,26297,19.5689307472522,27.705528003206627,-0.09471395059668741
Short-term Autoregressive (Lag 1-3h),Climatology,Non-Event Baseline (AQI <= 100),Available,24806,16.167802371255874,20.397449518875,-0.11040364224745614
Short-term Autoregressive (Lag 1-3h),Climatology,January 2025 Stress-Test Window,Available,1799,23.430411589171257,39.4219743273453,-0.11178796726536722
Short-term Autoregressive (Lag 1-3h),Climatology,Extreme AQI in Test 2025 (Top 5%),Available,1325,79.7167056127856,84.57820683206018,-8.016609386490842
Short-term Autoregressive (Lag 1-3h),Climatology,Wildfire Season 2025 (Jul-Sep),Available,6624,19.330950534188972,27.724125709527478,-0.06016326361314772
Short-term Autoregressive (Lag 1-3h),Climatology,Source: EPA AQS,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Climatology,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Linear Ridge,Full Test Year 2025,Available,26297,13.628100352715531,19.62775905885537,0.45057397578567715
Long-term Forecasting (Lag 24h),Linear Ridge,Non-Event Baseline (AQI <= 100),Available,24806,11.735642653726321,15.266006733748949,0.3780148114024474
Long-term Forecasting (Lag 24h),Linear Ridge,January 2025 Stress-Test Window,Available,1799,20.587044084159768,34.45780700391682,0.1505838846497698
Long-term Forecasting (Lag 24h),Linear Ridge,Extreme AQI in Test 2025 (Top 5%),Available,1325,47.999872757536615,56.63690699202824,-3.04320130886562
Long-term Forecasting (Lag 24h),Linear Ridge,Wildfire Season 2025 (Jul-Sep),Available,6624,13.398288830749548,19.26056902713786,0.48832374956848934
Long-term Forecasting (Lag 24h),Linear Ridge,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Linear Ridge,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Random Forest,Full Test Year 2025,Available,26297,13.94046789809536,19.86697523001017,0.4370999454323301
Long-term Forecasting (Lag 24h),Random Forest,Non-Event Baseline (AQI <= 100),Available,24806,11.98227293991353,15.467512145690124,0.36148651293590905
Long-term Forecasting (Lag 24h),Random Forest,January 2025 Stress-Test Window,Available,1799,20.418696724977316,33.759550650157095,0.18466038743283952
Long-term Forecasting (Lag 24h),Random Forest,Extreme AQI in Test 2025 (Top 5%),Available,1325,49.340577368553504,57.166633345032125,-3.1191873224423174
Long-term Forecasting (Lag 24h),Random Forest,Wildfire Season 2025 (Jul-Sep),Available,6624,13.197995748302551,18.92389089195474,0.5060557852959144
Long-term Forecasting (Lag 24h),Random Forest,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Random Forest,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),LightGBM,Full Test Year 2025,Available,26297,13.672446441841808,19.49353938609733,0.4580625170366689
Long-term Forecasting (Lag 24h),LightGBM,Non-Event Baseline (AQI <= 100),Available,24806,11.799671219886658,15.239148324170642,0.380201478513305
Long-term Forecasting (Lag 24h),LightGBM,January 2025 Stress-Test Window,Available,1799,20.45288988761256,33.5123348272324,0.196557870410341
Long-term Forecasting (Lag 24h),LightGBM,Extreme AQI in Test 2025 (Top 5%),Available,1325,47.60088940591523,55.823033906909,-2.927834508824965
Long-term Forecasting (Lag 24h),LightGBM,Wildfire Season 2025 (Jul-Sep),Available,6624,13.13450378557229,19.131791397200757,0.4951430884727529
Long-term Forecasting (Lag 24h),LightGBM,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),LightGBM,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),CatBoost,Full Test Year 2025,Available,26297,13.74553803055139,20.4220005096696,0.4052090450454854
Long-term Forecasting (Lag 24h),CatBoost,Non-Event Baseline (AQI <= 100),Available,24806,11.3184055721763,14.581661394231475,0.43252966685605887
Long-term Forecasting (Lag 24h),CatBoost,January 2025 Stress-Test Window,Available,1799,19.998124194104303,34.25920755463569,0.16034698044969964
Long-term Forecasting (Lag 24h),CatBoost,Extreme AQI in Test 2025 (Top 5%),Available,1325,57.380133613816554,64.74444443028123,-4.2836169687679035
Long-term Forecasting (Lag 24h),CatBoost,Wildfire Season 2025 (Jul-Sep),Available,6624,13.702249807195336,21.236024190179958,0.3779812801836986
Long-term Forecasting (Lag 24h),CatBoost,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),CatBoost,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),XGBoost,Full Test Year 2025,Available,26297,13.73771880357466,19.439698592592748,0.46105202535667333
Long-term Forecasting (Lag 24h),XGBoost,Non-Event Baseline (AQI <= 100),Available,24806,11.968093935925973,15.417493709119237,0.36560945226995745
Long-term Forecasting (Lag 24h),XGBoost,January 2025 Stress-Test Window,Available,1799,20.53139473809173,33.845643641470176,0.1804965564654748
Long-term Forecasting (Lag 24h),XGBoost,Extreme AQI in Test 2025 (Top 5%),Available,1325,45.88209983561665,54.53824941194745,-2.7491144338574864
Long-term Forecasting (Lag 24h),XGBoost,Wildfire Season 2025 (Jul-Sep),Available,6624,13.273297165896313,18.94007057185803,0.5052107924984639
Long-term Forecasting (Lag 24h),XGBoost,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),XGBoost,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Persistence,Full Test Year 2025,Available,26297,16.56164848762706,23.764607485958578,0.19456762717274123
Long-term Forecasting (Lag 24h),Persistence,Non-Event Baseline (AQI <= 100),Available,24806,15.224325580099046,20.986142560354182,-0.17542353227360352
Long-term Forecasting (Lag 24h),Persistence,January 2025 Stress-Test Window,Available,1799,24.68101072286922,40.981579204521005,-0.20149676902285374
Long-term Forecasting (Lag 24h),Persistence,Extreme AQI in Test 2025 (Top 5%),Available,1325,40.540826194427936,53.449166918060946,-2.600876198364311
Long-term Forecasting (Lag 24h),Persistence,Wildfire Season 2025 (Jul-Sep),Available,6624,14.182153606153019,19.808027946271693,0.4588227736443491
Long-term Forecasting (Lag 24h),Persistence,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Persistence,Source: Open-Meteo,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Climatology,Full Test Year 2025,Available,26297,19.18333730003286,26.868419728477207,-0.029560893909223118
Long-term Forecasting (Lag 24h),Climatology,Non-Event Baseline (AQI <= 100),Available,24806,15.96065956368653,19.999645581991608,-0.06751440159067967
Long-term Forecasting (Lag 24h),Climatology,January 2025 Stress-Test Window,Available,1799,22.704176166764558,38.42712458378322,-0.05638202945157622
Long-term Forecasting (Lag 24h),Climatology,Extreme AQI in Test 2025 (Top 5%),Available,1325,76.10756126128655,81.01912102612967,-7.273730368447488
Long-term Forecasting (Lag 24h),Climatology,Wildfire Season 2025 (Jul-Sep),Available,6624,18.6119072717159,26.53227841806254,0.029029301371862548
Long-term Forecasting (Lag 24h),Climatology,Source: EPA AQS,Unavailable in test split,0,,,
Long-term Forecasting (Lag 24h),Climatology,Source: Open-Meteo,Unavailable in test split,0,,,
