latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
36.70000457763672,-119.80000305175781,91.0,0,,,FRES_OPENMETEO,Fresno - Open-Meteo,fresno_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2025-05-01,2025-05-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2025-05-01T00:00,19.8,8.4,180.0,449.0,1.8,1.6,150.0,95.833336,29.35,0.0,100.0,5.3305535,348.31067,21.208414,999.1884
2025-05-01T01:00,18.0,7.3,181.0,448.0,9.1,1.7,138.0,111.13945,29.35,0.0,100.0,10.661107,348.31067,22.265474,998.9905
2025-05-01T02:00,19.4,8.8,183.0,446.0,19.0,1.9,120.0,117.304405,28.35,0.0,100.0,10.7714615,350.38034,24.423796,998.85767
2025-05-01T03:00,22.5,11.5,187.0,446.0,25.7,2.0,104.0,114.54082,26.7,0.0,93.0,9.6932955,344.93146,32.126583,999.09814
2025-05-01T04:00,24.4,12.4,197.0,448.0,26.0,1.9,90.0,105.824814,25.05,0.0,29.0,8.133928,335.13632,40.780087,999.3376
2025-05-01T05:00,25.0,12.2,210.0,451.0,23.0,1.8,77.0,93.06971,24.05,0.0,9.0,8.187527,326.65927,45.350643,999.69855
2025-05-01T06:00,28.5,12.5,217.0,453.0,19.9,1.6,66.0,76.91326,22.75,0.0,29.0,6.7757506,320.38934,50.363735,999.8504
2025-05-01T07:00,28.5,12.0,214.0,454.0,17.8,1.5,59.0,57.99319,21.35,0.0,53.0,8.669949,311.63345,54.670006,1000.0977
2025-05-01T08:00,25.1,11.1,206.0,455.0,15.6,1.3,55.0,46.614098,20.3,0.0,82.0,9.867218,321.66663,56.051037,1000.5548
2025-05-01T09:00,20.3,9.4,201.0,457.0,13.7,1.2,53.0,43.871525,19.3,0.0,61.0,6.9550843,349.5626,58.267815,1000.61725
2025-05-01T10:00,18.3,9.5,203.0,460.0,12.3,1.1,52.0,42.46528,18.6,0.0,0.0,4.278551,345.3791,61.478855,1000.7897
