latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2025-01-01,2025-01-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2025-01-01T00:00,3.9,3.2,263.0,461.0,17.1,3.3,56.0,41.145836,12.35,0.0,6.0,6.849467,266.98727,60.202034,1017.67523
2025-01-01T01:00,6.5,5.8,332.0,472.0,28.7,3.9,42.0,41.26736,10.05,0.0,100.0,2.8116899,230.19447,72.5964,1017.34357
2025-01-01T02:00,9.0,8.0,420.0,487.0,44.6,4.8,22.0,41.493053,9.15,0.0,100.0,1.4512063,187.12492,73.70493,1017.7291
2025-01-01T03:00,11.2,10.2,472.0,497.0,56.2,5.5,7.0,41.84028,8.95,0.0,100.0,1.2727921,224.9999,73.66891,1018.324
2025-01-01T04:00,13.7,12.7,453.0,498.0,59.1,5.7,1.0,42.361115,8.4,0.0,100.0,1.5273507,224.9999,74.87105,1018.4156
2025-01-01T05:00,16.3,15.3,399.0,494.0,57.6,5.7,1.0,43.072914,8.1,0.0,100.0,3.143565,203.6294,77.75936,1018.5107
2025-01-01T06:00,18.0,16.9,363.0,493.0,56.1,5.7,1.0,43.94097,8.2,0.0,99.0,5.12289,161.56496,78.04722,1018.3131
2025-01-01T07:00,18.1,16.9,375.0,499.0,56.2,5.9,1.0,44.687496,7.3,0.0,100.0,0.71999997,90.0,76.81747,1018.8975
2025-01-01T08:00,17.6,16.4,404.0,507.0,56.2,6.0,3.0,45.121525,7.15,0.0,98.0,1.1525624,38.65983,77.06434,1019.29376
2025-01-01T09:00,16.5,15.3,416.0,511.0,55.5,6.0,4.0,45.41666,6.0,0.0,97.0,2.97953,154.98314,78.534874,1018.87836
2025-01-01T10:00,15.9,14.8,386.0,507.0,53.4,5.6,5.0,45.59027,5.6,0.0,53.0,4.0449967,147.72438,78.75338,1018.5739
2025-01-01T11:00,15.1,14.1,339.0,499.0,50.5,5.0,6.0,45.72916,5.55,0.0,100.0,2.5071096,158.96242,75.7128,1018.17456
2025-01-01T12:00,13.6,12.7,311.0,492.0,40.6,2.5,8.0,45.83333,5.8,0.0,10.0,0.40249225,243.43501,74.41335,1018.1783
2025-01-01T13:00,12.6,11.8,319.0,489.0,42.2,2.6,8.0,45.65972,5.25,0.0,100.0,1.0182338,315.0001,81.846016,1018.07074
2025-01-01T14:00,11.0,10.4,347.0,488.0,44.2,2.8,9.0,45.50347,4.6,0.0,98.0,1.659518,220.60121,86.86309,1018.758
2025-01-01T15:00,10.9,10.3,383.0,489.0,44.7,3.0,11.0,45.364582,4.5,0.0,97.0,4.7110505,133.45189,84.41563,1018.5576
2025-01-01T16:00,12.7,12.2,435.0,495.0,42.6,3.2,14.0,45.05208,4.55,0.0,94.0,1.7727944,113.962494,79.158936,1019.15576
2025-01-01T17:00,13.1,12.7,495.0,502.0,39.0,3.4,18.0,44.72222,6.85,0.0,35.0,3.06,208.07239,72.767,1019.28925
2025-01-01T18:00,11.6,10.9,526.0,505.0,35.0,4.1,24.0,44.635418,8.4,0.0,19.0,2.6999998,216.86998,73.31161,1019.81
2025-01-01T19:00,8.2,7.4,502.0,498.0,29.9,5.7,36.0,44.843754,9.7,0.0,14.0,2.3400002,247.3801,74.57642,1019.6296
2025-01-01T20:00,7.5,6.7,449.0,487.0,24.3,7.7,51.0,45.08681,11.0,0.0,76.0,1.98,270.0,73.27474,1018.95087
2025-01-01T21:00,7.5,6.6,402.0,478.0,21.5,9.2,60.0,45.381943,11.75,0.0,72.0,2.0523157,217.87505,73.661606,1017.96545
2025-01-01T22:00,7.7,6.8,368.0,473.0,22.4,9.5,60.0,45.65972,12.6,0.0,82.0,1.659518,257.4712,70.374855,1017.7783
2025-01-01T23:00,8.5,7.4,340.0,471.0,26.1,9.2,55.0,45.885418,12.7,0.0,67.0,4.6452556,305.53775,68.73,1017.97876
2025-01-02T00:00,2.9,2.9,333.0,472.0,24.3,5.0,51.0,46.093746,12.45,0.0,97.0,3.671294,281.3099,68.91491,1018.47327
2025-01-02T01:00,5.8,5.7,361.0,477.0,36.5,5.3,36.0,46.041664,10.95,0.0,100.0,3.0811036,276.70975,76.87406,1018.1532
2025-01-02T02:00,9.2,9.0,409.0,484.0,53.3,5.8,16.0,46.024307,10.65,0.0,98.0,2.4482646,287.1028,76.0383,1018.24854
2025-01-02T03:00,13.0,12.7,450.0,493.0,65.0,6.1,1.0,46.19791,9.75,0.0,96.0,2.97953,244.98314,78.28578,1018.5346
2025-01-02T04:00,16.2,15.9,477.0,505.0,67.1,6.1,0.0,46.631943,9.25,0.0,91.0,1.5484185,215.53777,76.068825,1018.8261
2025-01-02T05:00,17.9,17.6,496.0,518.0,64.3,5.9,0.0,47.187492,8.9,0.0,96.0,2.0523157,195.25517,74.17663,1019.02045
2025-01-02T06:00,18.5,18.2,495.0,525.0,60.6,5.6,1.0,47.586803,8.5,0.0,97.0,3.4247334,176.98727,73.58761,1018.9148
2025-01-02T07:00,18.5,18.3,462.0,520.0,57.0,5.0,3.0,47.812496,8.1,0.0,83.0,3.396233,147.99466,74.29487,1019.00867
2025-01-02T08:00,17.7,17.4,409.0,508.0,52.6,4.2,5.0,48.05555,8.15,0.0,93.0,2.1674871,138.36655,73.52414,1018.81036
2025-01-02T09:00,16.2,15.9,359.0,497.0,49.0,3.5,7.0,48.229168,8.5,0.0,94.0,0.9178235,168.69011,69.55831,1018.9148
2025-01-02T10:00,14.4,14.0,312.0,489.0,46.5,3.0,9.0,48.333332,8.2,0.0,94.0,2.3469129,237.52882,68.03524,1019.2095
2025-01-02T11:00,12.5,12.0,267.0,482.0,44.8,2.6,11.0,48.194443,8.05,0.0,98.0,2.0124612,169.6952,65.15871,1018.9084
