latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2025-03-01,2025-03-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2025-03-01T00:00,12.8,10.5,376.0,473.0,15.1,4.9,93.0,63.625885,24.9,0.0,100.0,6.320538,340.0168,25.23002,1008.57904
2025-03-01T01:00,14.5,12.0,435.0,478.0,25.2,5.1,76.0,63.679077,23.35,0.0,100.0,2.3400002,337.3801,37.79327,1008.16064
2025-03-01T02:00,18.0,15.6,511.0,484.0,39.5,5.4,51.0,63.723408,20.05,0.0,100.0,5.5916004,326.82147,41.45086,1008.71533
2025-03-01T03:00,21.5,18.8,579.0,494.0,51.9,6.1,32.0,63.856388,18.05,0.0,100.0,10.495713,354.09393,56.234863,1009.5853
2025-03-01T04:00,24.2,21.4,642.0,513.0,61.6,7.7,21.0,63.99823,16.0,0.0,100.0,3.6402748,8.530692,66.88832,1009.7567
2025-03-01T05:00,27.3,24.3,698.0,535.0,69.5,9.6,16.0,64.14894,15.2,0.0,92.0,1.659518,282.5288,69.466576,1009.8455
2025-03-01T06:00,29.0,26.0,713.0,548.0,72.4,10.7,14.0,64.32624,13.75,0.0,87.0,1.1525624,321.34018,79.148575,1010.12445
2025-03-01T07:00,29.2,25.9,657.0,541.0,66.9,10.3,19.0,64.414894,12.6,0.0,55.0,2.6208394,15.945477,80.86351,1010.1086
2025-03-01T08:00,24.7,21.7,561.0,523.0,56.4,9.0,28.0,64.299644,12.15,0.0,11.0,5.7852573,354.64426,77.32725,1010.6003
2025-03-01T09:00,22.7,19.4,484.0,512.0,48.6,7.9,34.0,63.785458,10.65,0.0,11.0,2.5264204,4.085537,86.26826,1010.57904
2025-03-01T10:00,23.7,19.9,449.0,516.0,47.7,7.4,31.0,63.17376,10.3,0.0,1.0,0.17999999,90.0,85.64896,1010.2752
2025-03-01T11:00,24.1,20.4,433.0,527.0,49.3,7.1,25.0,62.783684,9.75,0.0,0.0,1.26,90.0,85.008354,1009.67004
2025-03-01T12:00,30.6,26.5,422.0,534.0,52.6,7.4,14.0,62.58865,9.1,0.0,1.0,2.6208394,344.05453,85.22887,1009.56116
2025-03-01T13:00,26.8,22.6,416.0,533.0,48.3,7.0,17.0,63.386524,9.0,0.0,48.0,5.2939587,342.18103,92.19117,1010.0576
2025-03-01T14:00,22.3,18.8,415.0,528.0,42.0,6.3,23.0,63.874115,8.0,0.0,99.0,2.4149535,26.564985,96.9823,1010.4418
2025-03-01T15:00,24.0,19.8,410.0,520.0,34.7,5.5,31.0,64.01595,7.9,0.0,78.0,1.3708391,293.1986,96.97993,1010.5398
2025-03-01T16:00,22.3,17.5,399.0,508.0,25.7,4.4,45.0,64.10461,9.05,0.0,100.0,3.671294,11.3098955,97.66521,1011.2535
2025-03-01T17:00,18.1,13.6,384.0,494.0,15.8,3.2,63.0,63.776596,11.3,0.0,34.0,2.0523157,127.875046,79.057274,1011.48474
2025-03-01T18:00,13.2,9.5,355.0,480.0,8.3,2.2,77.0,63.244675,13.85,0.0,18.0,0.742159,194.03627,65.75629,1011.2214
2025-03-01T19:00,12.0,8.6,298.0,466.0,5.0,1.7,85.0,62.81028,16.1,0.0,93.0,10.564941,315.6902,60.073807,1011.8501
2025-03-01T20:00,11.4,8.1,227.0,453.0,4.2,1.5,90.0,62.393616,16.6,0.0,99.0,16.13286,305.46344,60.601128,1013.0522
2025-03-01T21:00,10.7,7.5,178.0,444.0,3.8,1.4,93.0,61.923756,15.6,0.0,63.0,9.299225,317.35333,63.726402,1012.83923
2025-03-01T22:00,10.2,7.2,164.0,441.0,3.1,1.3,96.0,61.39184,16.55,0.0,65.0,12.492829,306.20953,57.200386,1012.1549
2025-03-01T23:00,10.0,7.1,171.0,442.0,2.9,1.3,99.0,60.79787,16.15,0.0,45.0,5.5450516,346.86597,58.875385,1011.9504
2025-03-02T00:00,11.2,7.4,196.0,446.0,4.2,1.5,95.0,60.168438,16.4,0.0,99.0,1.0182338,315.0001,58.142258,1011.35626
2025-03-02T01:00,11.1,7.5,249.0,453.0,9.2,1.7,86.0,59.893616,14.95,0.0,100.0,3.189608,343.61038,64.23037,1011.3362
2025-03-02T02:00,11.2,8.1,319.0,463.0,15.9,1.9,73.0,59.49468,14.65,0.0,100.0,3.9966488,172.23492,65.04113,1010.7345
2025-03-02T03:00,11.8,9.0,370.0,471.0,19.9,2.0,64.0,58.829784,13.75,0.0,100.0,2.3469126,184.39862,74.514755,1011.4194
2025-03-02T04:00,12.7,9.4,392.0,479.0,18.4,2.0,64.0,57.960995,13.8,0.1,100.0,1.3708391,293.1986,74.77431,1011.918
2025-03-02T05:00,13.3,9.5,394.0,485.0,14.2,1.9,68.0,56.897163,13.95,0.2,100.0,1.0948973,170.53775,73.306625,1012.6175
