latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
36.70000457763672,-119.80000305175781,91.0,0,,,FRES_OPENMETEO,Fresno - Open-Meteo,fresno_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-02-01,2023-02-28
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-02-01T00:00,9.0,6.2,175.0,,4.6,1.3,75.0,42.13541,11.65,0.0,0.0,1.8,216.86998,46.63604,1010.6197
2023-02-01T01:00,10.8,7.5,200.0,,13.75,1.3,62.0,42.23958,8.95,0.0,0.0,5.5887027,255.06853,66.99982,1010.4154
2023-02-01T02:00,13.2,9.2,236.0,,26.8,1.35,44.0,42.55208,5.9,0.0,0.0,7.208994,267.13766,67.789604,1010.6895
2023-02-01T03:00,15.0,10.4,286.0,,40.25,1.4,24.0,43.142357,5.9,0.0,0.0,5.771239,273.57626,62.13083,1010.88727
2023-02-01T04:00,17.0,11.9,326.0,,43.1,1.45,19.0,43.94097,7.2,0.0,0.0,4.5820518,315.0001,52.221867,1011.236
2023-02-01T05:00,19.1,13.3,368.0,,42.55,1.45,18.0,44.930553,5.3,0.0,0.0,3.6,53.13002,63.363564,1011.3573
2023-02-01T06:00,21.1,14.8,404.0,,41.1,1.45,19.0,46.024296,4.2,0.0,0.0,3.219938,63.435013,71.74159,1011.6095
2023-02-01T07:00,22.2,15.5,406.0,,41.4,1.4,18.0,47.135403,2.15,0.0,0.0,5.0911684,81.86999,83.5298,1011.8217
2023-02-01T08:00,21.6,15.1,393.0,,41.7,1.35,18.0,48.159714,1.05,0.0,24.0,7.342588,78.6901,89.06593,1011.67706
2023-02-01T09:00,20.4,14.2,366.0,,40.45,1.25,20.0,48.975693,0.55,0.0,0.0,9.726665,92.12105,89.67675,1011.5575
