latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-04-01,2023-04-30
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-04-01T00:00,9.1,5.3,179.0,,2.6,1.0,111.0,47.916664,14.55,0.0,84.0,21.485697,328.70703,54.201607,1019.5983
2023-04-01T01:00,10.8,6.4,185.0,,6.7,1.1,104.0,46.927082,13.3,0.0,82.0,19.05281,337.79648,59.807686,1019.6804
2023-04-01T02:00,11.2,6.7,194.0,,12.6,1.3,94.0,47.077923,11.65,0.0,11.0,14.145756,345.25638,66.18566,1019.8566
2023-04-01T03:00,12.4,7.5,208.0,,19.9,1.6,82.0,47.1359,9.7,0.0,0.0,10.041354,345.4655,74.06044,1020.1275
2023-04-01T04:00,13.5,8.3,220.0,,23.6,1.9,76.0,46.150276,8.6,0.0,4.0,8.049845,333.43503,79.479225,1020.4104
2023-04-01T05:00,14.1,8.9,233.0,,26.7,2.2,72.0,45.069443,7.75,0.0,3.0,5.937272,345.9637,82.1738,1020.9955
2023-04-01T06:00,15.3,9.8,252.0,,30.8,2.6,65.0,44.826393,9.3,0.0,2.0,3.6179552,5.7105074,73.731895,1020.8191
2023-04-01T07:00,17.2,11.1,269.0,,35.1,2.8,57.0,44.652775,9.05,0.0,26.0,1.0182338,44.999897,75.245415,1020.61597
2023-04-01T08:00,20.1,13.4,288.0,,39.7,3.1,48.0,44.652775,8.8,0.0,92.0,2.5455842,171.86998,75.20257,1020.41327
2023-04-01T09:00,22.6,15.4,303.0,,42.3,3.3,41.0,45.052086,8.5,0.0,99.0,1.8,180.0,75.151,1020.4088
2023-04-01T10:00,24.5,16.7,299.0,,38.8,3.4,42.0,45.729164,8.3,0.0,88.0,0.8049845,243.43501,75.38025,1020.30634
2023-04-01T11:00,25.3,17.2,286.0,,32.4,3.4,46.0,46.510414,7.9,0.0,94.0,2.0991426,239.0363,75.842865,1020.30066
2023-04-01T12:00,29.2,20.0,308.0,,34.0,3.3,39.0,47.274303,7.1,0.0,56.0,4.68,180.0,81.80234,1019.9903
2023-04-01T13:00,29.7,20.4,319.0,,33.8,3.3,38.0,47.951385,4.9,0.0,33.0,6.9899354,168.11136,88.75634,1019.85803
2023-04-01T14:00,29.4,20.2,333.0,,33.4,3.4,36.0,48.10764,5.65,0.0,59.0,5.2416787,164.05453,85.44813,1020.2677
2023-04-01T15:00,29.6,20.4,331.0,,30.2,3.3,41.0,48.020836,7.05,0.0,0.0,6.9247384,152.10283,82.65987,1020.6866
2023-04-01T16:00,19.8,13.1,294.0,,23.5,3.0,55.0,48.072914,9.1,0.0,34.0,4.802999,167.00539,78.18619,1020.7166
2023-04-01T17:00,13.1,8.4,239.0,,14.5,2.6,74.0,47.43055,10.7,0.0,13.0,2.6208394,195.94547,73.98179,1020.4404
2023-04-01T18:00,10.9,6.9,180.0,,5.1,2.1,96.0,46.996525,12.3,0.0,16.0,5.1165614,320.7106,65.643486,1020.5628
2023-04-01T19:00,10.4,6.6,164.0,,2.6,1.9,104.0,46.770832,13.55,0.0,2.0,9.0,323.13,59.25061,1020.77966
2023-04-01T20:00,10.4,6.5,161.0,,2.4,1.7,107.0,46.6493,14.4,0.0,0.0,8.14587,315.0001,56.853973,1020.29346
2023-04-01T21:00,10.4,6.5,160.0,,2.8,1.5,109.0,46.562496,14.65,0.0,0.0,6.8777895,312.8789,57.707077,1019.5997
2023-04-01T22:00,10.2,6.4,155.0,,2.4,1.4,110.0,46.545135,15.25,0.0,0.0,12.43434,337.8905,58.654552,1019.11
2023-04-01T23:00,10.1,6.3,151.0,,2.1,1.3,109.0,46.545135,15.2,0.0,0.0,21.120682,330.37634,62.56594,1018.9101
