latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-06-01,2023-06-30
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-06-01T00:00,15.8,9.5,129.0,,2.7,1.0,94.0,40.64239,22.1,0.0,1.0,22.427162,341.2741,38.60785,1006.5506
2023-06-01T01:00,15.5,9.3,129.0,,3.7,1.0,91.0,41.45408,20.6,0.0,0.0,22.206486,340.09616,43.792812,1006.5311
2023-06-01T02:00,15.4,9.3,130.0,,5.2,1.0,87.0,42.033855,18.1,0.0,3.0,20.188908,338.00882,53.109917,1006.7969
2023-06-01T03:00,15.0,9.2,132.0,,7.2,1.1,81.0,42.26577,15.6,0.0,1.0,16.73516,341.1752,63.511433,1007.36066
2023-06-01T04:00,14.8,9.1,137.0,,8.7,1.2,77.0,41.975883,14.2,0.0,0.0,11.013882,348.6901,69.73732,1007.74023
2023-06-01T05:00,15.5,9.6,143.0,,10.2,1.4,74.0,41.280148,14.05,0.0,0.0,6.2145634,10.007925,70.895386,1008.03674
2023-06-01T06:00,15.4,9.5,148.0,,11.2,1.5,70.0,40.17857,14.15,0.0,0.0,1.4399999,90.0,69.49214,1007.83887
2023-06-01T07:00,14.5,9.1,147.0,,10.7,1.5,69.0,38.787106,13.45,0.0,3.0,6.439876,153.43501,72.47827,1007.7298
2023-06-01T08:00,13.9,8.7,144.0,,9.4,1.5,68.0,37.279682,12.5,0.0,11.0,8.534353,152.35411,77.64412,1007.6169
2023-06-01T09:00,13.9,8.6,140.0,,7.7,1.4,68.0,35.772263,11.6,0.0,29.0,8.225035,156.80139,82.38328,1007.6042
2023-06-01T10:00,13.8,8.6,138.0,,6.7,1.3,68.0,34.438774,11.05,0.0,100.0,9.19939,149.42085,85.43838,1007.29785
2023-06-01T11:00,13.2,8.2,137.0,,5.8,1.2,68.0,33.337196,10.65,0.0,67.0,11.119281,150.9455,87.44381,1007.2921
2023-06-01T12:00,13.4,8.2,131.0,,3.3,0.8,71.0,33.350697,11.35,0.0,82.0,8.049845,153.43501,83.19209,1007.9992
2023-06-01T13:00,13.5,8.2,130.0,,3.3,0.8,71.0,33.975697,11.5,0.0,100.0,9.178235,154.44008,80.713936,1008.2007
2023-06-01T14:00,13.0,8.0,129.0,,3.4,0.7,71.0,34.53125,12.0,0.0,100.0,11.609651,150.2552,76.26032,1008.5064
2023-06-01T15:00,12.9,7.9,128.0,,3.5,0.7,71.0,34.982635,13.05,0.0,100.0,11.113451,155.09526,70.22314,1008.8197
2023-06-01T16:00,12.6,7.7,128.0,,3.7,0.7,71.0,35.29514,14.9,0.0,100.0,9.178235,154.44008,61.23176,1009.0446
2023-06-01T17:00,11.9,7.4,129.0,,4.0,0.7,71.0,35.520836,16.55,0.0,40.0,7.7043357,142.59457,56.23604,1008.86774
2023-06-01T18:00,12.1,7.5,130.0,,4.0,0.7,72.0,35.624996,18.35,0.0,8.0,5.6233797,129.80553,50.366604,1008.3941
2023-06-01T19:00,12.6,7.8,130.0,,3.4,0.7,75.0,35.659718,20.55,0.0,4.0,5.5887027,104.93147,43.778767,1008.224
2023-06-01T20:00,13.4,8.3,129.0,,2.5,0.7,80.0,35.659714,22.5,0.0,3.0,4.6102495,51.34017,38.590225,1007.851
2023-06-01T21:00,13.9,8.6,128.0,,1.6,0.8,85.0,35.67708,24.35,0.0,2.0,9.007196,2.2905633,34.51482,1007.57587
2023-06-01T22:00,13.9,8.6,128.0,,1.4,0.9,88.0,35.67708,25.4,0.0,1.0,18.1041,342.64587,34.460983,1007.39026
2023-06-01T23:00,13.6,8.4,129.0,,1.5,1.0,91.0,35.65972,25.0,0.0,0.0,24.514387,330.04648,38.13303,1007.2856
2023-06-02T00:00,15.5,9.4,138.0,,2.5,1.0,94.0,36.699905,23.75,0.0,0.0,14.869351,353.04715,41.652172,1007.7675
2023-06-02T01:00,15.4,9.4,137.0,,3.7,1.0,90.0,38.033398,21.95,0.0,0.0,17.654686,343.41257,47.39286,1008.1427
2023-06-02T02:00,15.0,9.2,136.0,,5.3,1.1,85.0,39.13497,19.9,0.0,0.0,17.447933,338.19852,51.816032,1008.8131
2023-06-02T03:00,14.7,9.1,136.0,,7.5,1.2,78.0,39.888683,17.35,0.0,0.0,15.137133,334.65387,57.594105,1009.47626
2023-06-02T04:00,14.0,8.8,138.0,,9.0,1.3,74.0,40.062614,15.85,0.0,0.0,8.759178,350.53775,60.21787,1009.7548
2023-06-02T05:00,14.9,9.3,141.0,,10.4,1.4,70.0,39.71475,15.45,0.0,0.0,4.379589,9.462248,60.945774,1010.1478
2023-06-02T06:00,14.1,8.9,143.0,,11.4,1.5,67.0,38.84508,15.05,0.0,0.0,2.1897945,170.53775,64.03528,1010.34143
2023-06-02T07:00,13.8,8.8,141.0,,10.9,1.5,66.0,37.627552,13.85,0.0,5.0,7.754637,158.19853,74.032455,1010.62366
2023-06-02T08:00,13.2,8.5,138.0,,9.8,1.4,66.0,36.178104,12.7,0.0,42.0,9.983106,154.35904,79.79701,1010.70746
2023-06-02T09:00,13.2,8.4,134.0,,8.1,1.3,66.0,35.3125,11.95,0.0,40.0,9.826088,151.55717,82.70557,1010.4978
2023-06-02T10:00,13.4,8.5,132.0,,7.0,1.2,66.0,35.277782,11.4,0.0,39.0,9.19939,149.42085,84.901085,1010.48987
2023-06-02T11:00,13.2,8.3,129.0,,5.9,1.2,67.0,35.260418,10.85,0.0,79.0,9.585739,145.71307,87.167564,1010.48236
2023-06-02T12:00,13.1,8.3,122.0,,3.6,0.8,71.0,35.277775,10.9,0.0,54.0,8.707237,150.2552,89.25373,1011.2798
2023-06-02T13:00,12.7,8.1,122.0,,3.8,0.8,71.0,35.29514,11.15,0.0,100.0,9.178235,138.17992,86.31857,1011.6817
2023-06-02T14:00,11.6,7.4,121.0,,4.0,0.8,71.0,35.277775,11.7,0.0,100.0,10.296251,143.53067,82.11805,1011.88885
2023-06-02T15:00,10.7,6.9,122.0,,4.2,0.8,72.0,35.17361,13.15,0.0,73.0,9.659814,153.43501,72.669014,1012.0087
2023-06-02T16:00,10.1,6.5,124.0,,4.2,0.9,75.0,35.000004,14.75,0.0,30.0,6.1305785,139.76372,65.06311,1012.1302
