latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
36.70000457763672,-119.80000305175781,91.0,0,,,FRES_OPENMETEO,Fresno - Open-Meteo,fresno_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2024-07-01,2024-07-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2024-07-01T00:00,5.9,4.0,112.0,,1.0,1.0,109.0,84.56632,38.3,0.0,0.0,15.778518,332.8504,14.565366,998.98785
2024-07-01T01:00,5.1,3.4,116.0,,2.1,1.0,104.0,86.904755,36.2,0.0,0.0,13.392774,323.74606,16.671963,999.4155
2024-07-01T02:00,4.9,3.3,123.0,,3.7,1.0,97.0,83.07823,35.55,0.0,0.0,14.57889,327.09476,17.517708,999.3944
2024-07-01T03:00,5.4,3.7,128.0,,5.1,1.0,92.0,74.36225,33.95,0.0,0.0,12.074766,333.43503,19.877129,999.34204
2024-07-01T04:00,6.3,4.4,130.0,,6.1,1.2,92.0,63.52041,32.35,0.0,0.0,12.864649,342.072,22.727465,999.4871
2024-07-01T05:00,7.6,5.3,131.0,,6.9,1.4,93.0,55.425537,31.15,0.0,0.0,11.885453,324.86572,24.995802,999.9422
2024-07-01T06:00,9.5,6.6,138.0,,7.7,1.6,92.0,55.28369,29.1,0.0,0.0,14.336861,298.49554,29.277483,1000.16974
2024-07-01T07:00,12.4,8.6,156.0,,8.4,1.7,85.0,55.106384,27.6,0.0,0.0,14.57889,302.90524,33.257957,1000.1185
2024-07-01T08:00,14.7,10.2,181.0,,9.0,1.8,75.0,54.911346,26.7,0.0,0.0,14.4,306.86996,35.89099,999.9889
2024-07-01T09:00,15.8,10.9,207.0,,9.9,1.8,64.0,54.734047,25.95,0.0,0.0,14.255272,315.0001,37.766903,999.9628
2024-07-01T10:00,16.4,11.3,236.0,,11.5,1.7,51.0,54.343975,25.3,0.0,0.0,14.003028,316.04153,39.25221,999.8411
2024-07-01T11:00,16.8,11.5,266.0,,13.3,1.6,37.0,53.599285,24.6,0.0,0.0,11.966954,316.2188,41.199345,1000.01465
2024-07-01T12:00,16.9,11.4,292.0,,13.7,1.4,31.0,52.491135,23.65,0.0,0.0,9.220499,308.65982,44.054214,1000.27826
2024-07-01T13:00,18.0,12.3,288.0,,12.1,1.5,41.0,50.82447,22.25,0.0,0.0,7.289445,302.90524,48.916756,1000.4265
2024-07-01T14:00,20.5,14.0,282.0,,9.8,1.7,55.0,48.29861,23.8,0.0,0.0,10.383987,303.6901,45.281815,1000.9763
2024-07-01T15:00,20.9,14.2,266.0,,7.6,1.9,71.0,44.479164,25.7,0.0,0.0,9.931042,313.53125,41.50717,1001.3394
2024-07-01T16:00,17.9,12.0,231.0,,5.8,2.3,90.0,40.43403,27.85,0.0,0.0,9.726664,308.991,37.182953,1001.51263
2024-07-01T17:00,18.2,12.3,187.0,,4.1,2.7,110.0,38.281246,30.2,0.0,0.0,10.948973,297.4075,32.13542,1001.19696
