latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
34.099998474121094,-118.19999694824219,91.0,0,,,LA_OPENMETEO,Los Angeles - Open-Meteo,los_angeles_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-01-01,2023-01-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-01-01T00:00,9.3,6.5,161.0,,30.8,4.35,25.0,55.620567,14.3,0.3,100.0,12.6462,184.899,92.80035,1002.70807
2023-01-01T01:00,9.1,6.3,169.0,,34.4,4.0,20.0,55.106384,14.05,0.0,100.0,14.587776,164.24876,94.31469,1001.8085
2023-01-01T02:00,7.9,5.5,179.0,,39.4,3.5,14.0,54.539005,13.9,0.1,100.0,18.043148,151.38963,94.30824,1000.7146
2023-01-01T03:00,5.8,4.1,189.0,,42.5,2.85,10.0,53.838654,13.9,0.3,100.0,24.40046,158.3555,94.92625,999.72534
2023-01-01T04:00,5.0,3.5,190.0,,39.3,2.5,13.0,52.996456,13.75,3.1,100.0,26.019806,165.5792,97.11409,999.12616
2023-01-01T05:00,4.7,3.2,188.0,,33.15,2.25,20.0,52.118797,13.85,3.4,100.0,23.535301,173.85347,97.1163,998.53644
2023-01-01T06:00,5.4,3.7,178.0,,24.55,1.9,31.0,51.16135,13.95,4.6,100.0,24.648829,173.29025,95.86151,997.55096
2023-01-01T07:00,5.1,3.4,160.0,,18.7,1.6,39.0,50.203903,14.2,7.1,100.0,36.06474,183.43356,95.55797,996.2743
2023-01-01T08:00,4.7,3.0,135.0,,12.7,1.3,48.0,48.350704,13.6,2.0,100.0,22.915916,226.27295,92.458466,996.4496
2023-01-01T09:00,5.6,3.5,112.0,,6.65,1.1,58.0,46.35417,13.45,0.7,39.0,7.072878,255.2564,93.05937,995.0591
2023-01-01T10:00,6.2,3.8,109.0,,4.1,1.2,64.0,44.375004,12.65,0.0,31.0,9.114471,260.9098,93.943474,994.6331
2023-01-01T11:00,5.7,3.5,114.0,,2.85,1.4,69.0,42.517365,11.4,0.0,27.0,9.605998,257.00537,93.573105,994.4867
2023-01-01T12:00,10.7,7.1,157.0,,12.25,2.3,60.0,40.381943,11.1,0.0,38.0,5.00128,300.25635,94.18564,995.0689
2023-01-01T13:00,11.7,7.8,168.0,,17.3,2.3,55.0,38.888885,11.45,0.2,63.0,5.154415,114.775116,93.8879,994.6864
2023-01-01T14:00,10.6,7.1,183.0,,24.4,2.35,48.0,37.5,10.1,0.0,5.0,5.3517847,289.6539,97.03145,996.1185
2023-01-01T15:00,8.5,5.7,195.0,,30.15,2.45,43.0,36.37153,9.05,0.0,22.0,7.628263,289.29013,97.00702,996.4735
2023-01-01T16:00,8.8,5.9,191.0,,28.2,2.6,47.0,35.069447,10.5,0.0,29.0,10.587918,305.31128,93.21519,996.4306
2023-01-01T17:00,8.9,5.9,180.0,,23.05,2.8,55.0,33.767365,12.45,0.0,1.0,6.87779,263.9911,87.90179,996.7029
2023-01-01T18:00,8.4,5.6,165.0,,16.55,2.95,65.0,32.34375,13.8,0.0,17.0,8.350138,277.4313,74.02372,997.2485
2023-01-01T19:00,9.1,6.1,156.0,,13.4,2.8,70.0,30.781252,14.95,0.0,26.0,11.874544,284.03625,67.80069,996.7967
2023-01-01T20:00,9.5,6.4,148.0,,10.7,2.55,75.0,29.045137,15.95,0.0,22.0,12.979984,289.44012,58.22888,995.9436
2023-01-01T21:00,9.2,6.1,141.0,,9.4,2.25,78.0,27.118053,16.4,0.0,20.0,15.937878,288.43503,51.05583,995.0697
2023-01-01T22:00,8.4,5.6,137.0,,10.35,2.15,77.0,27.887291,16.1,0.0,30.0,16.418526,307.87503,52.22073,995.25665
2023-01-01T23:00,7.3,4.8,135.0,,12.7,2.1,73.0,29.568645,15.7,0.0,18.0,14.529915,318.01285,52.47512,995.7363
2023-01-02T00:00,9.0,6.0,159.0,,22.7,2.75,60.0,31.307978,14.75,0.0,3.0,14.182355,293.9625,58.531216,996.39355
2023-01-02T01:00,10.0,6.8,185.0,,31.45,2.7,49.0,32.061687,12.5,0.0,8.0,13.849477,297.8972,60.870472,996.60583
2023-01-02T02:00,11.0,7.5,222.0,,43.9,2.65,34.0,31.713823,11.5,0.0,13.0,14.003028,313.95847,58.331272,997.4579
2023-01-02T03:00,11.8,8.1,283.0,,57.8,2.8,17.0,29.91651,11.3,0.0,6.0,13.089354,328.4958,58.486885,998.5384
2023-01-02T04:00,13.6,9.3,344.0,,63.15,3.2,10.0,31.10225,11.05,0.0,29.0,16.279802,341.9656,58.01271,999.419
2023-01-02T05:00,16.7,11.4,414.0,,66.1,3.8,6.0,32.55516,10.85,0.0,14.0,13.849477,332.1028,58.78827,999.5104
2023-01-02T06:00,18.8,12.9,482.0,,67.7,4.5,3.0,33.34318,10.25,0.0,7.0,14.512064,299.74478,61.185406,999.685
2023-01-02T07:00,19.6,13.5,489.0,,67.1,4.8,1.0,33.047676,9.4,0.0,14.0,18.998314,279.81924,64.54206,1000.24536
2023-01-02T08:00,20.0,13.7,474.0,,65.0,5.0,0.0,32.013397,8.95,0.0,23.0,17.414474,299.74478,66.76342,1000.52484
2023-01-02T09:00,21.4,14.7,470.0,,61.55,5.65,0.0,30.314222,7.7,0.0,41.0,12.031756,308.92755,72.1557,1000.6736
2023-01-02T10:00,24.2,16.6,499.0,,58.7,6.75,0.0,32.17014,6.35,0.0,17.0,7.5942082,328.5705,78.03368,1000.4225
2023-01-02T11:00,29.4,20.4,543.0,,55.5,8.15,0.0,34.39236,5.4,0.0,18.0,6.162207,353.29025,80.9979,1000.9778
2023-01-02T12:00,50.4,35.2,907.0,,51.05,13.45,0.0,37.326385,5.55,0.0,32.0,4.802999,12.99463,86.34616,1001.1816
2023-01-02T13:00,52.4,36.6,973.0,,50.6,13.6,0.0,42.20486,5.6,0.0,99.0,3.4152596,18.435053,85.44271,1001.6783
2023-01-02T14:00,53.0,37.0,1064.0,,50.15,13.85,0.0,47.20486,5.8,0.0,100.0,8.311245,72.34979,87.594765,1001.9827
