latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
34.099998474121094,-118.19999694824219,91.0,0,,,LA_OPENMETEO,Los Angeles - Open-Meteo,los_angeles_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2025-10-01,2025-10-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2025-10-01T00:00,12.5,11.9,183.0,442.0,13.9,10.4,86.0,50.35461,24.1,0.0,0.0,10.436895,237.6804,51.55349,1003.6586
2025-10-01T01:00,10.9,10.3,211.0,445.0,17.0,9.8,77.0,51.099293,22.65,0.0,0.0,9.835975,235.43741,55.53998,1003.9041
2025-10-01T02:00,10.5,10.0,251.0,449.0,21.5,8.9,64.0,51.67553,21.3,0.0,1.0,7.9036193,239.9315,60.306602,1004.3507
2025-10-01T03:00,11.1,10.6,286.0,454.0,26.5,8.7,52.0,52.19858,20.55,0.0,0.0,5.1165614,219.28938,65.45265,1004.5215
2025-10-01T04:00,12.4,11.8,310.0,459.0,31.8,9.5,43.0,52.739357,19.9,0.0,0.0,4.802999,192.99461,70.60662,1004.7949
2025-10-01T05:00,14.1,12.9,329.0,465.0,37.7,10.9,34.0,53.306736,19.45,0.0,0.0,2.7416782,156.80138,74.265274,1005.1744
2025-10-01T06:00,16.4,15.1,340.0,470.0,44.2,12.4,26.0,53.918438,19.2,0.0,0.0,2.0991426,120.96369,74.70347,1005.26416
2025-10-01T07:00,19.5,18.1,341.0,472.0,52.4,13.8,17.0,54.583336,19.15,0.0,0.0,3.0547013,135.0001,73.73612,1005.3612
2025-10-01T08:00,24.0,22.6,334.0,473.0,61.3,15.3,8.0,55.398933,18.8,0.0,0.0,2.6758924,160.34608,75.12081,1005.3485
2025-10-01T09:00,27.4,25.9,327.0,474.0,68.1,17.0,1.0,56.524826,18.25,0.0,2.0,2.3400002,157.3801,79.01902,1005.4273
2025-10-01T10:00,30.2,28.7,319.0,477.0,71.7,19.2,0.0,57.987587,17.95,0.0,0.0,1.609969,153.43501,81.83105,1005.1195
2025-10-01T11:00,30.9,29.7,311.0,481.0,73.1,21.7,0.0,59.77837,17.85,0.0,0.0,0.742159,104.03627,82.87957,1005.1157
2025-10-01T12:00,25.0,23.2,311.0,484.0,66.9,22.2,1.0,61.62234,17.0,0.0,0.0,2.7238941,82.40546,86.32952,1005.2822
2025-10-01T13:00,27.4,25.6,332.0,486.0,65.9,24.1,3.0,62.455677,16.65,0.0,0.0,3.2599385,83.659904,87.70005,1005.5658
2025-10-01T14:00,30.5,28.8,362.0,488.0,64.2,26.8,6.0,63.368797,16.45,0.0,2.0,3.244996,86.82024,88.53593,1005.7564
