latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-07-01,2023-07-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-07-01T00:00,16.7,10.6,165.0,,4.2,3.3,109.0,42.091835,31.95,0.0,0.0,17.238699,331.29416,27.310547,1006.8739
2023-07-01T01:00,17.4,11.1,168.0,,6.0,3.3,101.0,45.33859,29.3,0.0,0.0,14.480773,325.1246,32.312378,1006.8414
2023-07-01T02:00,17.6,11.4,172.0,,8.5,3.4,89.0,47.19388,27.0,0.0,0.0,9.659814,333.43503,35.97539,1006.8127
2023-07-01T03:00,18.2,11.8,180.0,,12.4,3.5,72.0,47.251854,23.9,0.0,0.0,7.4128532,299.0545,43.83148,1007.07214
2023-07-01T04:00,19.2,12.5,188.0,,15.7,3.7,60.0,45.86039,21.1,0.0,0.0,3.8268526,311.18582,52.30541,1007.33466
2023-07-01T05:00,19.8,13.0,198.0,,19.3,4.0,48.0,43.489586,19.95,0.0,0.0,2.7416782,336.8014,55.777523,1007.8176
2023-07-01T06:00,20.5,13.4,214.0,,23.7,4.2,34.0,43.819447,19.0,0.0,0.0,2.8799999,270.0,59.76281,1007.90454
2023-07-01T07:00,21.1,14.0,229.0,,26.4,4.1,27.0,44.21875,18.15,0.0,0.0,2.8799999,270.0,64.72131,1007.99286
2023-07-01T08:00,21.8,14.5,246.0,,28.8,3.9,21.0,44.75694,17.3,0.0,0.0,1.08,270.0,70.10975,1007.583
2023-07-01T09:00,21.7,14.5,264.0,,30.8,3.6,16.0,45.434032,16.55,0.0,0.0,0.71999997,180.0,74.25369,1007.3736
2023-07-01T10:00,21.1,14.2,270.0,,31.1,3.3,14.0,46.23264,16.15,0.0,0.0,0.71999997,360.0,76.168915,1006.9698
2023-07-01T11:00,20.4,13.6,272.0,,30.6,2.9,13.0,47.06597,15.9,0.0,0.0,0.8049845,296.56497,76.88564,1006.9663
2023-07-01T12:00,15.0,10.4,230.0,,23.4,2.9,16.0,47.864582,14.8,0.0,0.0,1.9386592,291.80148,80.62313,1007.4495
2023-07-01T13:00,14.7,10.2,239.0,,22.0,2.9,19.0,47.79514,14.2,0.0,0.0,4.6102495,308.65982,86.90537,1007.8398
2023-07-01T14:00,15.1,10.4,251.0,,19.9,2.9,24.0,47.864582,14.25,0.0,10.0,4.2136917,289.9832,89.81142,1008.2389
2023-07-01T15:00,18.2,12.3,258.0,,16.8,3.0,36.0,47.96875,16.2,0.0,8.0,4.5536795,288.43503,82.67993,1008.46466
2023-07-01T16:00,17.5,11.6,247.0,,14.2,3.4,51.0,48.107635,19.3,0.0,4.0,4.6938257,302.47116,68.906784,1008.4067
2023-07-01T17:00,15.6,10.3,227.0,,11.3,3.9,71.0,48.24653,23.1,0.0,0.0,4.829907,333.43503,52.99846,1008.25714
2023-07-01T18:00,15.5,10.2,204.0,,7.9,4.3,93.0,48.263885,27.75,0.0,0.0,7.42159,337.1663,35.59175,1008.4162
2023-07-01T19:00,15.9,10.0,195.0,,6.1,4.2,104.0,48.368057,31.25,0.0,0.0,10.464797,333.43503,28.607586,1008.26025
2023-07-01T20:00,15.6,9.9,189.0,,4.7,4.0,112.0,48.45486,33.5,0.0,0.0,14.336861,331.50446,24.861296,1007.78955
2023-07-01T21:00,15.7,9.9,182.0,,3.4,3.6,119.0,48.506943,35.35,0.0,0.0,17.873556,332.4028,21.839535,1007.5128
2023-07-01T22:00,15.1,9.6,177.0,,2.8,3.4,122.0,48.524303,36.25,0.0,0.0,21.129885,336.92957,21.415577,1007.125
2023-07-01T23:00,15.0,9.4,172.0,,2.6,3.1,122.0,48.472225,35.8,0.0,4.0,22.89611,343.55954,21.806705,1007.02
2023-07-02T00:00,14.8,9.7,187.0,,4.1,3.3,130.0,48.402775,35.7,0.0,8.0,18.089775,328.84076,20.856424,1006.8194
2023-07-02T01:00,17.8,11.3,192.0,,6.1,3.2,121.0,52.253395,33.6,0.0,1.0,16.279802,324.9041,24.722485,1006.5949
2023-07-02T02:00,18.2,11.7,199.0,,8.9,3.2,107.0,62.88265,31.05,0.0,1.0,11.983188,327.26477,29.322132,1006.5639
2023-07-02T03:00,19.0,12.3,211.0,,12.9,3.2,89.0,65.85884,28.0,0.0,0.0,6.6185193,292.3802,36.136517,1006.82526
2023-07-02T04:00,20.6,13.4,223.0,,15.9,3.4,77.0,62.67006,25.3,0.0,1.0,5.0528407,274.08554,44.219025,1007.1897
2023-07-02T05:00,21.9,14.5,237.0,,18.9,3.7,66.0,55.22959,23.85,0.0,0.0,4.5820518,224.9999,49.507893,1007.56964
2023-07-02T06:00,23.2,15.3,255.0,,22.6,4.0,53.0,48.836803,22.35,0.0,0.0,3.5455887,246.0375,55.28384,1007.7492
2023-07-02T07:00,24.5,16.2,268.0,,25.0,4.1,47.0,49.16666,21.5,0.0,0.0,2.52,270.0,58.992245,1007.4393
2023-07-02T08:00,25.5,16.9,280.0,,27.2,4.2,43.0,49.54861,20.2,0.0,0.0,3.671294,258.6901,64.953575,1007.223
2023-07-02T09:00,25.8,17.2,291.0,,28.6,4.1,39.0,49.965275,19.85,0.0,5.0,2.4149535,243.43501,67.02745,1006.91974
2023-07-02T10:00,24.9,16.7,294.0,,28.0,3.8,34.0,50.221634,19.35,0.0,80.0,3.319036,229.39879,68.91667,1006.5148
2023-07-02T11:00,23.8,16.1,293.0,,26.3,3.3,29.0,50.443268,18.95,0.0,2.0,2.8116899,219.80553,69.28815,1006.4097
