,missing_count,missing_percent
us_aqi_official,102289,56.45
pm10_ug_m3,78,0.04
target_aqi,1,0.0
time,0,0.0
source,0,0.0
station_id,0,0.0
station_name,0,0.0
lat,0,0.0
lon,0,0.0
pm25_ug_m3,0,0.0
target_type,0,0.0
temperature_2m,0,0.0
relative_humidity_2m,0,0.0
rain,0,0.0
cloud_cover,0,0.0
wind_speed_10m,0,0.0
wind_direction_10m,0,0.0
surface_pressure,0,0.0
hour,0,0.0
dayofweek,0,0.0
month,0,0.0
year,0,0.0
