,correlation_with_target_aqi
pm25_ug_m3,0.9474
pm10_ug_m3,0.6467
us_aqi_official,0.6382
lon,0.2508
month,0.1338
relative_humidity_2m,0.0821
dayofweek,0.0237
surface_pressure,0.0187
hour,-0.0152
temperature_2m,-0.0174
year,-0.0299
cloud_cover,-0.0313
rain,-0.1266
wind_direction_10m,-0.1983
lat,-0.2383
wind_speed_10m,-0.3124
